facts_products,,,,,,
productid,product__code,product__name,product__type,product__price,opportunityid,Currency Code
1,P1234,Xaiomi phone L2,Electronics,899.99,1,USD
2,P343536,Tablet Apple,Electronics,699.99,1,USD
3,P737475,Rice Cooker Zojirushi,Home Appliances,129.99,2,EUR
1,P404142,Adidas Sneakers,Footwear,129.99,3,GBP
2,P91011,Sara Jeans,Clothing XXL,49.99,3,GBP
3,P495051,Puma Joggers,Clothing M,39.99,6,CNY
4,P13234,Computer Dell,Electronics,750,4,JPY
5,P434445,Smart TV Sony,Electronics,1499.99,4,JPY
6,P464748,Microwave Panasonic,Home Appliances,149.99,5,INR
7,P4378,Blender Phillips,Home Appliances,5000,5,INR
8,P94511,Desigual Sweater,Clothing XXS,1500,6,CNY
9,P495051,Puma Joggers,Clothing M,39.99,6,CNY
10,P162738,Smartwatch Y3,Electronics,349.99,7,AUD
11,P525354,Digital Camera Canon,Electronics,599.99,7,AUD
12,P192021,Refrigerator Samsung,Home Appliances,899.99,8,NZD
13,P555657,Air Fryer Philips,Home Appliances,249.99,8,NZD
14,P222324,Levi Jeans,Clothing XL,59.99,9,TWD
15,P585960,Leather Jacket,Clothing S,119.99,9,TWD
16,P252627,Laptop HP,Electronics,899.99,10,THB
17,P616263,Bluetooth Speaker JBL,Electronics,199.99,10,THB
18,P282930,Toaster KitchenAid,Home Appliances,13500,11,SGD
19,P646566,Vacuum Cleaner Dyson,Home Appliances,399.99,11,SGD
20,P313233,Nike Hoodie,Clothing L,79.99,12,PHP
21,P676869,Summer Dress,Clothing XS,29.99,13,PHP
22,P707172,Wireless Headphones Sony,Electronics,299.99,15,USD
23,P5678,Fridge GM,Home Appliances,399.5,15,EUR
24,P737475,Rice Cooker Zojirushi,Home Appliances,129.99,14,EUR
