facts_opportunities ,,,,,,,,
opportunityid,accountid,ownerid,o__name,o__statusname,o__closeddate,End Date,Project ID,Currency
1,1,1,Xaiomi and Dell products USA customer,Won,12/02/2024,10/04/2023,1,USD
2,2,2,Phillips and GM - special discount,Won,12/02/2024,10/04/2023,2,USD
3,3,3,Fashion closthing different size,Won,12/02/2024,10/04/2023,3,USD
1,4,1,Xaiomi and Dell products USA customer,Won,12/02/2024,10/04/2023,1,USD
2,5,2,Phillips and GM - special discount,Won,12/02/2024,10/04/2023,2,USD
3,6,3,Fashion closthing different size,Won,12/02/2024,10/04/2023,3,USD
4,7,1,Software Development Project,Open,15/05/2025,10/01/2024,4,INR
5,8,2,Tech Consultation Service,Won,15/05/2025,15/02/2024,5,JPY
6,9,3,Hardware Upgrade Contract,Lost,2025-05-15,20/03/2024,6,KRW
7,10,1,Cloud Services Implementation,Open,15/05/2025,25/04/2024,7,CNY
8,11,2,AI Integration Project,Won,15/05/2025,30/05/2024,8,SGD
9,12,3,Digital Marketing Campaign,Open,2024-09-05,05/06/2024,9,AUD
10,13,1,E-commerce Platform Development,Lost,15/05/2025,10/07/2024,10,NZD
11,14,2,IoT Solutions Implementation,Open,15/05/2025,15/08/2024,11,TWD
12,15,3,Network Infrastructure Upgrade,Won,15/05/2025,15/08/2024,12,THB
13,16,1,Mobile App Development,Open,2025-02-12,15/07/2024,13,PHP
14,17,2,Web Development Project,Open,2024-10-15,15/03/2024,14,SGD
15,18,3,Database Optimization,Open,2024-12-15,15/08/2024,15,AUD
